district,avg_price,rainfall,month,year
3,1229,0.0,2,2
3,1002,0.0,2,2
3,1256,0.0,2,2
3,1205,0.0,2,2
3,1250,0.0,2,2
3,1283,0.0,2,2
3,1271,0.0,2,2
3,1297,0.0,2,2
3,1349,0.0,2,2
3,1290,16.7,3,2
3,1312,16.7,3,2
3,1014,16.7,3,2
3,1325,16.7,3,2
3,1545,16.7,3,2
3,1333,16.7,3,2
3,1266,16.7,3,2
3,1399,16.7,3,2
3,1390,16.7,3,2
3,1316,16.7,3,2
3,1427,16.7,3,2
3,1521,16.7,3,2
3,1574,16.7,3,2
3,1339,16.7,3,2
3,1356,16.7,3,2
3,1419,16.7,3,2
3,1442,16.7,3,2
3,1415,16.7,3,2
3,1448,16.7,3,2
3,1427,16.7,3,2
3,1384,16.7,3,2
3,1393,65.8,4,2
3,1380,65.8,4,2
3,1319,65.8,4,2
3,1376,65.8,4,2
3,1383,65.8,4,2
3,1237,65.8,4,2
3,1387,65.8,4,2
3,1316,65.8,4,2
3,1250,65.8,4,2
3,1345,65.8,4,2
3,1220,65.8,4,2
3,1308,65.8,4,2
3,1279,65.8,4,2
3,1312,65.8,4,2
3,1267,65.8,4,2
3,1308,51.2,5,2
3,1364,51.2,5,2
3,1290,51.2,5,2
3,1242,51.2,5,2
3,1321,51.2,5,2
3,1206,51.2,5,2
3,1292,51.2,5,2
3,1100,51.2,5,2
3,1154,51.2,5,2
3,1070,51.2,5,2
3,1025,51.2,5,2
3,1252,51.2,5,2
3,1170,51.2,5,2
3,1179,51.2,5,2
3,1206,51.2,5,2
3,1277,69.9,6,2
3,1419,89.3,8,2
3,1307,179.8,9,2
3,1261,91.0,10,2
3,1261,91.0,10,2
3,1251,91.0,10,2
3,1258,91.0,10,2
3,1231,91.0,10,2
3,1350,91.0,10,2
3,1221,91.0,10,2
3,1355,4.9,11,2
3,1193,4.9,11,2
3,1320,4.9,11,2
3,1350,4.9,11,2
3,1281,0.3,12,2
3,1349,0.3,12,2
3,1305,0.3,12,2
3,1416,0.3,12,2
3,1391,0.3,12,2
3,1337,0.3,12,2
3,1461,0.3,12,2
3,1436,0.3,12,2
4,1400,9.1,12,2
4,1500,0.0,2,2
4,1500,0.0,2,2
4,1500,29.3,3,2
4,1400,108.8,4,2
4,1400,86.1,6,2
4,5000,14.0,7,2
4,1200,14.0,7,2
4,1200,14.0,7,2
4,1200,14.0,7,2
4,1300,68.7,8,2
4,1350,68.7,8,2
4,1400,135.5,9,2
4,1500,109.2,10,2
4,1400,109.2,10,2
4,1400,205.9,11,2
4,1400,205.9,11,2
4,1300,205.9,11,2
4,1700,0.3,1,2
4,1400,0.3,1,2
4,1400,0.3,1,2
4,1850,0.3,1,2
4,1860,0.0,2,2
4,1900,0.0,2,2
4,3700,0.0,2,2
4,1900,29.3,3,2
4,2090,29.3,3,2
4,2050,29.3,3,2
4,1382,29.3,3,2
4,2050,29.3,3,2
4,1288,108.8,4,2
