district,Avg price,rainfall,month,year
4,1600,10.4,11,1
4,1500,0.0,1,1
4,1400,0.0,1,1
4,2058,22.5,3,1
4,1600,47.8,6,1
4,1833,45.5,7,1
4,2000,122.9,8,1
4,1950,122.9,8,1
4,1975,102.2,9,1
4,1200,102.2,9,1
4,1350,172.2,10,1
4,1250,10.4,11,1
4,1200,10.4,11,1
4,1682,10.4,11,1
4,1600,10.4,11,1
4,1500,0.0,1,1
4,1100,22.5,3,1
4,1400,42.2,4,1
4,1200,122.9,8,1
4,1400,102.2,9,1
5,1600,230.4,9,1
5,1600,0.8,1,1
5,1600,0.8,1,1
5,1600,0.8,1,1
5,1300,0.8,1,1
5,1500,1.5,2,1
5,1500,1.5,2,1
5,1500,1.5,2,1
5,1500,1.5,2,1
5,1600,1.5,2,1
5,1600,8.9,3,1
5,1600,8.9,3,1
5,1600,79.8,4,1
5,1300,79.8,4,1
5,1600,79.8,4,1
5,1350,79.8,4,1
5,1600,79.8,4,1
5,1600,79.8,4,1
5,1600,177.3,5,1
5,1600,177.3,5,1
5,1400,175.4,6,1
5,1600,175.4,6,1
5,1600,175.4,6,1
5,1600,751.2,7,1
5,1600,517.2,8,1
5,1600,230.4,9,1
5,1500,230.4,9,1
5,1400,149.4,10,1
5,2325,149.4,10,1
5,1825,23.2,11,1
5,1800,0.8,1,1
5,1200,0.8,1,1
5,1880,0.8,1,1
5,1600,0.8,1,1
5,1703,0.8,1,1
5,1450,0.8,1,1
5,1200,0.8,1,1
5,1700,0.8,1,1
5,1440,0.8,1,1
5,1300,0.8,1,1
5,1300,1.5,2,1
5,1300,1.5,2,1
5,1400,1.5,2,1
5,1500,1.5,2,1
5,1900,1.5,2,1
5,1950,1.5,2,1
5,1334,8.9,3,1
5,1575,8.9,3,1
5,1650,8.9,3,1
5,1980,8.9,3,1
5,1600,8.9,3,1
5,1600,8.9,3,1
5,1400,8.9,3,1
5,1333,8.9,3,1
5,1850,8.9,3,1
5,1400,8.9,3,1
5,1500,8.9,3,1
5,1860,8.9,3,1
5,1400,8.9,3,1
5,1800,79.8,4,1
5,1800,79.8,4,1
5,1850,79.8,4,1
5,1334,79.8,4,1
5,1500,79.8,4,1
5,1820,79.8,4,1
5,1800,79.8,4,1
5,1250,79.8,4,1
5,1725,79.8,4,1
5,1333,79.8,4,1
5,1850,79.8,4,1
5,1400,177.3,5,1
5,1333,177.3,5,1
5,2300,177.3,5,1
5,1650,177.3,5,1
5,1700,177.3,5,1
5,1400,177.3,5,1
5,1440,177.3,5,1
5,1400,177.3,5,1
5,1600,177.3,5,1
5,1600,177.3,5,1
5,1400,175.4,6,1
5,1700,175.4,6,1
5,1500,175.4,6,1
5,1250,175.4,6,1
5,1600,175.4,6,1
5,1600,175.4,6,1
5,1600,175.4,6,1
5,1550,175.4,6,1
5,1600,175.4,6,1
5,1334,175.4,6,1
5,1500,751.2,7,1
5,2000,751.2,7,1
5,1400,751.2,7,1
5,1500,751.2,7,1
5,1700,751.2,7,1
5,1700,751.2,7,1
5,1334,751.2,7,1
5,1600,517.2,8,1
5,1200,517.2,8,1
5,1200,517.2,8,1
5,1650,517.2,8,1
5,1710,517.2,8,1
5,1600,517.2,8,1
5,1500,517.2,8,1
5,1600,8.9,3,1
5,1400,0.8,1,1
5,1700,0.8,1,1
5,1400,0.8,1,1
5,1200,0.8,1,1
5,1573,1.5,2,1
5,1800,1.5,2,1
5,1600,1.5,2,1
5,1800,1.5,2,1
5,1583,8.9,3,1
5,1300,8.9,3,1
5,1667,8.9,3,1
5,1800,8.9,3,1
5,1600,8.9,3,1
5,1815,8.9,3,1
5,1962,79.8,4,1
5,1820,79.8,4,1
5,1600,79.8,4,1
5,1258,79.8,4,1
5,2000,79.8,4,1
5,1300,79.8,4,1
5,1891,79.8,4,1
5,1600,177.3,5,1
5,1300,177.3,5,1
5,1574,177.3,5,1
5,1583,177.3,5,1
5,1866,177.3,5,1
5,1800,177.3,5,1
5,1666,175.4,6,1
5,1500,175.4,6,1
5,2000,175.4,6,1
5,1511,175.4,6,1
5,1400,175.4,6,1
5,1840,751.2,7,1
5,1600,751.2,7,1
5,1600,751.2,7,1
5,1550,751.2,7,1
5,1600,751.2,7,1
5,2282,517.2,8,1
5,1149,517.2,8,1
5,1400,517.2,8,1
5,1850,517.2,8,1
5,1435,517.2,8,1
5,1450,230.4,9,1
5,1400,230.4,9,1
5,1400,230.4,9,1
5,1870,230.4,9,1
5,1600,230.4,9,1
5,1400,230.4,9,1
5,1600,149.4,10,1
5,1400,149.4,10,1
5,1400,149.4,10,1
5,1400,149.4,10,1
5,1494,149.4,10,1
5,1200,23.2,11,1
5,1300,23.2,11,1
5,1200,23.2,11,1
5,1400,23.2,11,1
6,1600,35.6,11,1
6,1500,0.3,1,1
6,1360,18.7,3,1
6,1400,18.7,3,1
6,1510,18.7,3,1
6,1500,18.7,3,1
6,1600,18.7,3,1
6,1530,53.9,4,1
6,1400,53.9,4,1
6,1300,53.9,4,1
6,1300,142.4,5,1
6,1300,142.4,5,1
6,1250,142.4,5,1
6,1250,55.9,6,1
6,1200,55.9,6,1
6,1200,96.9,7,1
6,1200,96.9,7,1
6,1320,179.7,8,1
6,1400,179.7,8,1
6,1500,179.7,8,1
6,1450,82.6,9,1
6,1300,82.6,9,1
6,1200,82.6,9,1
6,1200,82.6,9,1
6,1400,82.6,9,1
6,1450,82.6,9,1
6,1400,82.6,9,1
6,1300,82.6,9,1
6,1350,82.6,9,1
6,1350,82.6,9,1
6,1380,177.5,10,1
6,1200,177.5,10,1
6,1200,177.5,10,1
6,1300,177.5,10,1
6,1200,177.5,10,1
6,1200,177.5,10,1
6,1100,35.6,11,1
6,1100,35.6,11,1
6,1200,35.6,11,1
7,1950,34.2,11,1
7,1850,2.3,1,1
7,1850,81.2,4,1
7,1425,81.2,4,1
7,1230,2.3,1,1
7,1370,2.3,1,1
7,1425,0.6,2,1
7,1480,0.6,2,1
7,1350,0.6,2,1
7,1165,0.6,2,1
7,1490,7.6,3,1
7,1480,7.6,3,1
7,1605,7.6,3,1
7,1200,7.6,3,1
7,1575,7.6,3,1
