Maharashtra,Kolhapur,Kolhapur(Laxmipuri),Other,Pulses,3.20,2300,2800,2600,11 Jan 2008
Maharashtra,Pune,Junnar(Otur),Other,Pulses,60.30,300,1150,750,11 Jan 2008
Maharashtra,Pune,Pune,Other,Pulses,10.80,2100,2450,2275,11 Jan 2008
NCT of Delhi,Delhi,Shahdara,Other,Pulses,80.30,800,1000,900,11 Jan 2008
Punjab,Jalandhar,Shahkot,Other,Pulses,0.50,800,1000,900,11 Jan 2008
Punjab,Sangrur,Bhawanigarh,Other,Pulses,1.80,900,1100,1000,11 Jan 2008
Rajasthan,Bikaner,Bikaner(F&V),Other,Pulses,19.80,1150,1250,1200,11 Jan 2008
Rajasthan,Kota,Kota (FV),Other,Pulses,45.00,600,800,700,11 Jan 2008
Rajasthan,Nagaur,Degana,Other,Pulses,7.30,2060,2085,2080,11 Jan 2008
Uttar Pradesh,Fatehpur,Bindki,Other,Pulses,2.30,450,500,475,11 Jan 2008
Uttar Pradesh,Fatehpur,Jahanabad,Other,Pulses,6.00,480,500,490,11 Jan 2008
Uttar Pradesh,Lucknow,Lucknow,Other,Pulses,23.50,0,0,2025,11 Jan 2008
Uttar Pradesh,Raebarelli,Raibareilly,Other,Pulses,24.00,890,910,900,11 Jan 2008
Uttrakhand,UdhamSinghNagar,Kicchha,Green Peas,Pulses,120.30,600,650,618,11 Jan 2008
Haryana,Ambala,Naraingarh,Other,Pulses,1.15,700,1000,800,12 Jan 2008
Haryana,Hissar,Uklana,Green Peas,Pulses,5.00,1200,1200,1200,12 Jan 2008
Jharkhand,Giridih,Giridih,Green Peas,Pulses,1.00,1900,2000,2000,12 Jan 2008
Karnataka,Mysore,Mysore (Bandipalya),Green Peas,Pulses,10.00,2300,2400,2360,12 Jan 2008
Maharashtra,Pune,Junnar(Otur),Other,Pulses,73.50,300,1100,850,12 Jan 2008
Maharashtra,Pune,Pune,Other,Pulses,20.80,2100,2450,2275,12 Jan 2008
Maharashtra,Satara,Satara,Other,Pulses,2.00,600,1200,900,12 Jan 2008
Maharashtra,Sholapur,Solapur,Other,Pulses,1.40,2225,2250,2250,12 Jan 2008
NCT of Delhi,Delhi,Shahdara,Other,Pulses,141.70,700,900,800,12 Jan 2008
Punjab,Jalandhar,Shahkot,Other,Pulses,0.50,800,1000,900,12 Jan 2008
